SampleID,SeqBatch,UserID,Mreads,>=Q30,SamplingTime,Time,Tree ,Block,Genotype
P13264_130,2,384,25.92,93.54,16,270,9_22,6,48
P13264_129,2,383,35.1,93.76,16,270,11_14,4,48
P13264_128,2,382,33.89,94.56,16,270,16_7,7,48
P13264_127,2,341,32.05,93.77,14,264,9_22,6,48
P13264_126,2,303,33.89,95.13,14,264,16_7,7,48
P13264_125,2,298,34.63,94.23,12,256,16_7,7,48
P13264_124,2,290,33.53,95.14,12,256,11_14,4,48
P13264_123,2,288,28.38,95.48,12,256,9_22,6,48
P13264_122,2,279,25,93.8,11,253,16_7,7,48
P13264_121,2,271,36.69,95.25,9,246,16_7,7,48
P13264_120,2,226,28.07,93.3,10,250,11_14,4,48
P13264_119,2,253,29.11,94.82,11,253,11_14,4,48
P13264_118,2,248,28.8,94.4,14,264,11_14,4,48
P13264_117,2,237,26.45,94.56,11,253,9_22,6,48
P13264_116,2,234,33.72,92.7,10,250,16_7,7,48
P13264_115,2,210,34.19,94.73,9,246,9_22,6,48
P13264_114,2,207,25.33,93.65,9,246,11_14,4,48
P13264_113,2,204,26.79,95.17,10,250,9_22,6,48
P13264_112,2,197,33.41,95.02,8,241,16_7,7,48
P13264_111,2,183,32.33,93.3,7,237,11_14,4,48
P13264_110,2,176,26.1,95.1,8,241,9_22,6,48
P13264_109,2,172,32.91,94.71,8,241,11_14,4,48
P13264_108,2,166,0.03,92.69,7,237,9_22,6,48
P13264_107,2,155,32.85,95,7,237,16_7,7,48
P13264_106,2,126,34.18,94.87,6,232,16_7,7,48
P13264_105,2,119,31.8,93.99,6,232,9_22,6,48
P13264_104,2,117,30.62,94.87,6,232,11_14,4,48
P13264_103,2,96,31.31,94.74,4,225,16_7,7,48
P13264_102,2,85,36.77,94.34,4,225,11_14,4,48
P13264_101,2,84,29.82,93.58,4,225,9_22,6,48
P12255_193,1,266,77.92,94.69,12,256,4_5,1,81
P12255_192,1,167,96.51,93.24,8,241,7_8,2,81
P12255_191,1,139,62.11,92.06,6,232,7_8,2,81
P12255_190,1,192,79.46,95.18,9,246,7_8,2,81
P12255_189,1,229,67.3,93.33,10,250,16_21,8,1
P12255_185,1,224,73.84,93.82,10,250,4_5,1,81
P12255_184,1,169,68.85,94.73,8,241,3_17,3,81
P12255_183,1,394,70.74,94.45,16,270,16_21,8,1
P12255_182,1,283,70.47,93.32,12,256,3_17,3,81
P12255_181,1,331,71.16,93.62,14,264,16_21,8,1
P12255_177,1,218,75.78,94.63,9,246,4_5,1,81
P12255_176,1,379,81.42,94.64,16,270,7_8,2,81
P12255_175,1,132,61.48,94.62,6,232,3_28,5,1
P12255_174,1,251,76.71,93.38,11,253,4_10,1,1
P12255_173,1,152,64.06,92.54,8,241,16_21,8,1
P12255_169,1,270,61.56,93.4,12,256,16_21,8,1
P12255_168,1,147,58.22,93.53,7,237,16_21,8,1
P12255_167,1,137,59.8,94.51,6,232,1_14,3,1
P12255_166,1,347,63.31,92.67,14,264,7_8,2,81
P12255_165,1,170,50.03,94.38,8,241,3_28,5,1
P12255_161,1,149,70.28,94.69,7,237,7_8,2,81
P12255_160,1,151,50.54,92.97,8,241,4_5,1,81
P12255_159,1,188,59.44,92.83,7,237,3_17,3,81
P12255_158,1,145,59.54,92.85,6,232,16_21,8,1
P12255_157,1,286,61.42,94.18,12,256,3_28,5,1
P12255_153,1,216,67.23,93.34,9,246,1_14,3,1
P12255_152,1,280,52.7,93.58,11,253,16_21,8,1
P12255_151,1,187,61.15,93.95,7,237,3_28,5,1
P12255_150,1,247,56.4,94.68,11,253,3_17,3,81
P12255_149,1,258,80.1,92.76,11,253,4_5,1,81
P12255_145,1,214,94.9,92.89,9,246,3_17,3,81
P12255_144,1,243,62.01,93.35,10,250,7_8,2,81
P12255_143,1,201,76.56,93.79,9,246,16_21,8,1
P12255_142,1,388,77.32,93.5,16,270,3_28,5,1
P12255_141,1,133,71.65,93.46,6,232,3_17,3,81
P12255_137,1,268,81.07,93.57,12,256,7_8,2,81
P12255_136,1,254,65.33,93.37,11,253,7_8,2,81
P12255_135,1,249,56.89,92.95,14,264,4_5,1,81
P12255_134,1,142,70.08,93.81,6,232,4_5,1,81
P12255_133,1,164,49.49,93.2,7,237,1_14,3,1
P12255_129,1,222,58.99,92.84,10,250,3_17,3,81
P12255_128,1,190,49.95,93.35,7,237,4_5,1,81
P12255_127,1,333,62.26,94.53,14,264,3_28,5,1
P12255_126,1,91,69.8,94.49,4,225,3_17,3,81
P12255_125,1,205,52.63,94.47,10,250,3_28,5,1
P12255_121,1,80,68.66,93.26,4,225,3_28,5,1
P12255_120,1,372,70.64,93.44,16,270,4_5,1,81
P12255_119,1,244,54.58,94.28,11,253,1_14,3,1
P12255_118,1,90,75.94,94.36,4,225,1_14,3,1
P12255_117,1,75,53.03,93.54,4,225,16_21,8,1
P12255_113,1,374,67.8,94.23,16,270,3_17,3,81
P12255_112,1,371,47.07,93.44,16,270,1_14,3,1
P12255_111,1,208,59.19,93.3,10,250,1_14,3,1
P12255_110,1,78,67.39,92.91,4,225,7_8,2,81
P12255_109,1,100,58.81,92.18,4,225,4_5,1,81
P12255_105,1,301,58.69,93.82,12,256,1_14,3,1
P12255_104,1,336,58.78,93.55,14,264,3_17,3,81
P12255_103,1,337,54.8,93.27,14,264,1_14,3,1
P12255_102,1,193,51.1,93.45,8,241,1_14,3,1
P12255_101,1,213,42.35,92.95,9,246,3_28,5,1
